timestamp,utilization.gpu,utilization.memory,memory.total,memory.used,temperature.gpu,power.draw,clocks.sm,clocks.mem,pstate,fan.speed
2026/09/06 17:08:32.090, 4 %, 32 %, 12282 MiB, 9325 MiB, 39, 14.69 W, 210 MHz, 405 MHz, P8, 0 %
2026/09/06 17:08:33.144, 3 %, 32 %, 12282 MiB, 9325 MiB, 39, 14.49 W, 210 MHz, 405 MHz, P8, 0 %
2026/09/06 17:08:34.199, 2 %, 38 %, 12282 MiB, 9318 MiB, 39, 14.38 W, 210 MHz, 405 MHz, P8, 0 %
2026/09/06 17:08:35.255, 4 %, 29 %, 12282 MiB, 9318 MiB, 39, 14.23 W, 210 MHz, 405 MHz, P8, 0 %
2026/09/06 17:08:36.308, 3 %, 37 %, 12282 MiB, 9316 MiB, 39, 14.14 W, 210 MHz, 405 MHz, P8, 0 %
2026/09/06 17:08:37.368, 5 %, 17 %, 12282 MiB, 9316 MiB, 39, 14.66 W, 210 MHz, 405 MHz, P8, 0 %
2026/09/06 17:08:38.422, 9 %, 17 %, 12282 MiB, 9318 MiB, 39, 14.48 W, 210 MHz, 405 MHz, P8, 0 %
2026/09/06 17:08:39.476, 6 %, 23 %, 12282 MiB, 9318 MiB, 39, 14.10 W, 210 MHz, 405 MHz, P8, 0 %
2026/09/06 17:08:40.530, 3 %, 24 %, 12282 MiB, 9318 MiB, 39, 14.08 W, 210 MHz, 405 MHz, P8, 0 %
2026/09/06 17:08:41.584, 9 %, 20 %, 12282 MiB, 9317 MiB, 39, 14.64 W, 210 MHz, 405 MHz, P8, 0 %
2026/09/06 17:08:42.639, 3 %, 30 %, 12282 MiB, 9318 MiB, 39, 14.24 W, 210 MHz, 405 MHz, P8, 0 %
2026/09/06 17:08:43.694, 4 %, 30 %, 12282 MiB, 9316 MiB, 39, 14.07 W, 210 MHz, 405 MHz, P8, 0 %
2026/09/06 17:08:44.748, 4 %, 29 %, 12282 MiB, 9315 MiB, 39, 14.33 W, 210 MHz, 405 MHz, P8, 0 %
2026/09/06 17:08:45.802, 7 %, 19 %, 12282 MiB, 9314 MiB, 39, 14.10 W, 210 MHz, 405 MHz, P8, 0 %
2026/09/06 17:08:46.859, 3 %, 28 %, 12282 MiB, 9314 MiB, 39, 14.92 W, 210 MHz, 405 MHz, P8, 0 %
