timestamp,utilization.gpu,utilization.memory,memory.total,memory.used,temperature.gpu,power.draw,clocks.sm,clocks.mem,pstate,fan.speed
2026/09/06 17:09:10.441, 3 %, 8 %, 12282 MiB, 9216 MiB, 39, 19.33 W, 210 MHz, 810 MHz, P5, 0 %
2026/09/06 17:09:11.476, 11 %, 1 %, 12282 MiB, 9428 MiB, 41, 35.54 W, 2505 MHz, 10251 MHz, P2, 0 %
2026/09/06 17:09:12.510, 14 %, 1 %, 12282 MiB, 9216 MiB, 40, 37.21 W, 2505 MHz, 10251 MHz, P0, 0 %
2026/09/06 17:09:13.544, 4 %, 1 %, 12282 MiB, 9428 MiB, 40, 37.26 W, 2505 MHz, 10501 MHz, P2, 0 %
2026/09/06 17:09:14.580, 2 %, 1 %, 12282 MiB, 9224 MiB, 40, 37.00 W, 2505 MHz, 10501 MHz, P0, 0 %
2026/09/06 17:09:15.621, 2 %, 1 %, 12282 MiB, 9363 MiB, 41, 37.23 W, 2505 MHz, 10501 MHz, P2, 0 %
2026/09/06 17:09:16.658, 14 %, 1 %, 12282 MiB, 9205 MiB, 41, 37.26 W, 2505 MHz, 10501 MHz, P0, 0 %
2026/09/06 17:09:17.695, 2 %, 1 %, 12282 MiB, 9405 MiB, 41, 37.31 W, 2505 MHz, 10251 MHz, P2, 0 %
2026/09/06 17:09:18.746, 14 %, 1 %, 12282 MiB, 9156 MiB, 41, 37.82 W, 2505 MHz, 10251 MHz, P0, 0 %
2026/09/06 17:09:19.789, 13 %, 1 %, 12282 MiB, 9369 MiB, 41, 38.02 W, 2505 MHz, 10251 MHz, P2, 0 %
2026/09/06 17:09:20.826, 14 %, 1 %, 12282 MiB, 9162 MiB, 42, 37.38 W, 2505 MHz, 10251 MHz, P0, 0 %
2026/09/06 17:09:21.861, 2 %, 1 %, 12282 MiB, 9303 MiB, 42, 37.97 W, 2505 MHz, 10251 MHz, P2, 0 %
2026/09/06 17:09:22.911, 9 %, 1 %, 12282 MiB, 9175 MiB, 41, 37.35 W, 2505 MHz, 10501 MHz, P0, 0 %
2026/09/06 17:09:23.959, 14 %, 1 %, 12282 MiB, 9156 MiB, 41, 38.21 W, 2505 MHz, 10501 MHz, P0, 0 %
2026/09/06 17:09:24.995, 13 %, 1 %, 12282 MiB, 9359 MiB, 41, 37.89 W, 2505 MHz, 10251 MHz, P2, 0 %
