timestamp,utilization.gpu,utilization.memory,memory.used,temperature.gpu,power.draw,clocks.sm,pstate
2026/09/06 17:46:25.773, 7 %, 25 %, 9163 MiB, 38, 13.87 W, 210 MHz, P8
2026/09/06 17:46:27.828, 5 %, 18 %, 9162 MiB, 38, 14.00 W, 210 MHz, P8
2026/09/06 17:46:29.884, 4 %, 41 %, 9164 MiB, 38, 14.26 W, 210 MHz, P8
2026/09/06 17:46:31.938, 4 %, 24 %, 9175 MiB, 38, 14.44 W, 210 MHz, P8
2026/09/06 17:46:33.994, 3 %, 42 %, 9161 MiB, 37, 14.09 W, 210 MHz, P8
2026/09/06 17:46:36.054, 5 %, 23 %, 9161 MiB, 37, 14.78 W, 210 MHz, P8
2026/09/06 17:46:41.688, 3 %, 28 %, 9160 MiB, 37, 13.96 W, 210 MHz, P8
2026/09/06 17:46:43.749, 7 %, 16 %, 9152 MiB, 37, 14.81 W, 210 MHz, P8
2026/09/06 17:46:45.806, 2 %, 31 %, 9163 MiB, 37, 13.89 W, 210 MHz, P8
2026/09/06 17:46:47.858, 7 %, 18 %, 9158 MiB, 37, 14.33 W, 210 MHz, P8
2026/09/06 17:46:49.911, 3 %, 21 %, 9156 MiB, 37, 14.25 W, 210 MHz, P8
2026/09/06 17:46:51.970, 4 %, 22 %, 9165 MiB, 37, 14.11 W, 210 MHz, P8
2026/09/06 17:46:54.023, 8 %, 18 %, 9155 MiB, 37, 13.87 W, 210 MHz, P8
2026/09/06 17:46:56.075, 4 %, 23 %, 9148 MiB, 37, 13.65 W, 210 MHz, P8
2026/09/06 17:46:58.128, 5 %, 31 %, 9135 MiB, 37, 14.16 W, 210 MHz, P8
2026/09/06 17:47:00.179, 4 %, 27 %, 9136 MiB, 37, 14.13 W, 210 MHz, P8
2026/09/06 17:47:02.234, 5 %, 33 %, 9134 MiB, 37, 14.55 W, 210 MHz, P8
2026/09/06 17:47:04.286, 7 %, 25 %, 9136 MiB, 37, 13.94 W, 210 MHz, P8
2026/09/06 17:47:06.336, 6 %, 30 %, 9134 MiB, 37, 14.86 W, 210 MHz, P8
2026/09/06 17:47:08.395, 3 %, 22 %, 9136 MiB, 37, 14.02 W, 210 MHz, P8
2026/09/06 17:47:10.446, 6 %, 24 %, 9134 MiB, 37, 14.19 W, 210 MHz, P8
2026/09/06 17:47:12.500, 6 %, 21 %, 9136 MiB, 37, 13.81 W, 210 MHz, P8
2026/09/06 17:47:18.158, 7 %, 22 %, 9134 MiB, 37, 14.33 W, 210 MHz, P8
2026/09/06 17:47:20.213, 7 %, 21 %, 9136 MiB, 37, 14.61 W, 210 MHz, P8
2026/09/06 17:47:22.264, 3 %, 33 %, 9135 MiB, 37, 14.24 W, 210 MHz, P8
2026/09/06 17:47:24.315, 3 %, 20 %, 9151 MiB, 37, 14.82 W, 210 MHz, P8
2026/09/06 17:47:26.371, 3 %, 34 %, 9148 MiB, 37, 13.94 W, 210 MHz, P8
2026/09/06 17:47:28.427, 5 %, 29 %, 9149 MiB, 37, 14.39 W, 210 MHz, P8
2026/09/06 17:47:30.481, 5 %, 19 %, 9138 MiB, 37, 14.38 W, 210 MHz, P8
2026/09/06 17:47:32.536, 5 %, 27 %, 9131 MiB, 37, 14.93 W, 210 MHz, P8
2026/09/06 17:47:34.590, 5 %, 33 %, 9135 MiB, 37, 14.36 W, 210 MHz, P8
2026/09/06 17:47:36.651, 6 %, 17 %, 9128 MiB, 37, 14.72 W, 210 MHz, P8
2026/09/06 17:47:38.707, 10 %, 14 %, 9133 MiB, 37, 13.95 W, 210 MHz, P8
